ROID,ITEMCODE,UNITPRICE,QTYAVAILABLE
R1001,I1001,21.25,28
R1001,I1002,112,20
R1001,I1003,18.5,20
R1001,I1004,353,100
R1001,I1007,709,50
R1001,I1006,7350,20
R1001,I1010,6199,100
R1001,I1011,5340,150
R1001,I1012,2510,50
R1001,I1013,2204,50
R1001,I1015,7700,60
R1002,I1001,25.25,25
R1002,I1002,139,50
R1002,I1003,21,20
R1002,I1004,400,110
R1002,I1005,1751,60
R1002,I1006,7499,50
R1002,I1007,799,20
R1002,I1008,2499,70
R1002,I1009,903,80
R1002,I1010,6801,20
R1002,I1011,5402,30
R1002,I1012,2900.5,130
R1002,I1013,2300.5,60
R1002,I1014,29.25,75
R1002,I1015,7400,65
R1003,I1012,3000.5,50
R1003,I1015,7800,40
R1003,I1008,2600,30
